Structure Number,HWB Class,Kskew,K3D,Kshape (assumed),Slight,Moderate,Extensive,Complete,NBI Class,Dispersion
08746S001 01329,HWB17,0.9871018512723169,1.125,1.0,0.25,0.38867135393847474,0.49972031220661045,0.7773427078769495,502.0,0.6
20798 002 07010,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,502.0,0.6
07626A292 00019,HWB10,1.0,1.0825,1.0,0.6,0.9742500000000001,1.1907500000000002,1.62375,204.0,0.6
07397 292 00022,HWB10,1.0,1.11,1.0,0.6,0.9990000000000001,1.2210000000000003,1.665,204.0,0.6
65C63 407000030,HWB10,0.9828152554214186,1.165,1.0,0.6,1.0304817953093575,1.259477749822548,1.7174696588489289,204.0,0.6
07392 002 06962,HWB10,1.0,1.11,1.0,0.6,0.9990000000000001,1.2210000000000003,1.665,204.0,0.6
08745 021 00133,HWB22,0.9439314192187734,1.0825,1.0,0.6,0.91962518517389,1.1239863374347545,1.5327086419564833,602.0,0.6
05283A270 01544,HWB17,0.9804395422147757,1.125,1.0,0.25,0.38604806974706796,0.4963475182462302,0.7720961394941359,501.0,0.6
08743 001 01477,HWB10,0.8620584814717586,1.0825,1.0,0.6,0.8398604755738609,1.0264961368124965,1.399767459289768,205.0,0.6
03461 233 00516,HWB10,1.0,1.0825,1.0,0.6,0.9742500000000001,1.1907500000000002,1.62375,204.0,0.6
20675 001 01496,HWB4,0.9306048591020997,1.2,1.0,0.8,1.1167258309225196,1.3400709971070235,1.8984339125682832,302.0,0.6
20674 001 01496,HWB4,0.9439314192187734,1.2,1.0,0.8,1.1327177030625282,1.3592612436750338,1.9256200952062976,302.0,0.6
00406A021 00076,HWB22,0.7573482926309705,1.11,1.0,0.6,0.7565909443383396,0.9247222653024152,1.2609849072305659,602.0,0.6
03460 233 00096,HWB5,1.0,1.125,1.0,0.25,0.39375,0.50625,0.7875,104.0,0.6
03459 233 00058,HWB5,1.0,1.25,1.0,0.25,0.4375,0.5625,0.875,104.0,0.6
16019 022 04409,HWB3,0.9050701874932087,1.2,1.0,0.8,1.0860842249918503,1.3033010699902203,1.8463431824861456,502.0,0.6
16018 022 04354,HWB10,0.9306048591020997,1.11,1.0,0.6,0.9296742542429977,1.136268532963664,1.5494570904049962,204.0,0.6
03722 022 05598,HWB10,0.881558824728657,1.165,1.0,0.6,0.9243144277279969,1.129717633889774,1.540524046213328,201.0,0.6
03639A026 06823,HWB10,0.8408964152537145,1.11,1.0,0.6,0.8400555188384609,1.0267345230247857,1.4000925313974348,204.0,0.6
0M229 022 04245,HWB28,0.8752396489642011,1.0,1.0,0.8,0.8752396489642011,1.0502875787570414,1.487907403239142,219.0,0.6
16017 022 04219,HWB10,0.893664092401218,1.11,1.0,0.6,0.8927704283088169,1.0911638568218873,1.4879507138480281,204.0,0.6
21984 026 06748,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,119.0,0.6
08739 001 01670,HWB17,1.0,1.0833333333333333,1.0,0.25,0.3791666666666666,0.4875,0.7583333333333332,502.0,0.6
21983 026 06717,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,119.0,0.6
03638A026 06725,HWB3,0.8408964152537145,1.2,1.0,0.8,1.0090756983044573,1.2108908379653487,1.7154286871175775,101.0,0.6
21981 026 06699,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,119.0,0.6
20677 001 01729,HWB19,0.9352110495173781,1.125,1.0,0.5,0.8416899445656404,1.1573236737777555,1.7885911322019854,505.0,0.6
20676 001 01729,HWB19,0.9352110495173781,1.125,1.0,0.5,0.8416899445656404,1.1573236737777555,1.7885911322019854,505.0,0.6
08049 063 01907,HWB10,1.0,1.055,1.0,0.6,0.9495,1.1605,1.5825,204.0,0.6
0M274 063 01909,HWB3,0.9306048591020997,1.2,1.0,0.8,1.1167258309225196,1.3400709971070235,1.8984339125682832,111.0,0.6
21978 026 06648,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,119.0,0.6
03640A026 07326,HWB10,0.9828152554214186,1.11,1.0,0.6,0.9818324401659972,1.2000174268695523,1.636387400276662,204.0,0.6
21152 026 07382,HWB4,0.9208952688316006,1.2,1.0,0.8,1.1050743225979207,1.326089187117505,1.878626348416465,501.0,0.6
03760A270 01247,HWB17,0.9951221375999885,1.125,1.0,0.25,0.39182934167999545,0.5037805821599941,0.7836586833599909,501.0,0.6
21345 026 06588,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,502.0,0.6
03759A270 01220,HWB17,0.9693774397962376,1.125,1.0,0.25,0.38169236691976854,0.4907473288968453,0.7633847338395371,501.0,0.6
08736 001 01856,HWB17,1.0,1.0833333333333333,1.0,0.25,0.3791666666666666,0.4875,0.7583333333333332,502.0,0.6
16006 026 07968,HWB10,1.0,1.11,1.0,0.6,0.9990000000000001,1.2210000000000003,1.665,204.0,0.6
09846 215 01776,HWB10,0.8408964152537145,1.11,1.0,0.6,0.8400555188384609,1.0267345230247857,1.4000925313974348,204.0,0.6
0M038 026 07982,HWB28,0.9923748047044564,1.0,1.0,0.8,0.9923748047044564,1.1908497656453476,1.6870371679975757,219.0,0.6
09845 215 01726,HWB10,0.8408964152537145,1.11,1.0,0.6,0.8400555188384609,1.0267345230247857,1.4000925313974348,204.0,0.6
07991 971 00003,HWB10,0.9520019889877593,1.055,1.0,0.6,0.9039258885438775,1.1047983082202948,1.506543147573129,201.0,0.6
21358 001 01917,HWB16,0.8752396489642011,1.33,1.0,0.9,1.0476618598101488,1.2804756064346265,1.7461030996835814,402.0,0.6
00646A026 09749,HWB10,0.8180040381066943,1.11,1.0,0.6,0.8171860340685877,0.9987829305282739,1.361976723447646,204.0,0.6
18571 026 06380,HWB4,0.9828152554214186,1.2,1.0,0.8,1.1793783065057022,1.4152539678068425,2.0049431210596937,506.0,0.6
09473 215 00464,HWB10,0.9352110495173781,1.11,1.0,0.6,0.9342758384678608,1.1418926914607188,1.5571263974464347,204.0,0.6
0M039 026 08394,HWB28,1.0,1.0,1.0,0.8,1.0,1.2,1.7,219.0,0.6
03995A018 04833,HWB3,1.0,1.2,1.0,0.8,1.2,1.44,2.04,501.0,0.6
09474 215 01920,HWB17,0.9306048591020997,1.0833333333333333,1.0,0.25,0.35285434240954605,0.45366986881227356,0.7057086848190921,502.0,0.6
21218 002 06444,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,305.0,0.6
02471B002C06428,HWB10,1.0,1.055,1.0,0.6,0.9495,1.1605,1.5825,205.0,0.6
00200A026 10236,HWB22,0.9520019889877593,1.066,1.0,0.6,0.9133507082348563,1.1163175322870469,1.5222511803914274,605.0,0.6
02444A002 06415,HWB15,1.0,1.0166666666666666,1.0,0.75,0.7625,0.7625,1.1183333333333334,402.0,0.6
02444 002 06415,HWB28,1.0,1.0,1.0,0.8,1.0,1.2,1.7,400.0,0.6
16063 022 03541,HWB15,1.0,1.0125,1.0,0.75,0.7593749999999999,0.7593749999999999,1.11375,409.0,0.6
00640A281 01822,HWB17,1.0,1.25,1.0,0.25,0.4375,0.5625,0.875,502.0,0.6
07458 002F06398,HWB10,1.0,1.066,1.0,0.6,0.9594,1.1726,1.5990000000000002,202.0,0.6
07459 002F06392,HWB10,1.0,1.0825,1.0,0.6,0.9742500000000001,1.1907500000000002,1.62375,202.0,0.6
21346 026 06179,HWB11,1.0,1.33,1.0,0.9,1.197,1.4630000000000003,1.995,202.0,0.6
21344 026 06170,HWB19,1.0,1.125,1.0,0.5,0.9,1.2375,1.9124999999999999,502.0,0.6
21928 026 06159,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,319.0,0.6
08662 002 06341,HWB15,1.0,1.0166666666666666,1.0,0.75,0.7625,0.7625,1.1183333333333334,402.0,0.6
02443 002 06341,HWB28,1.0,1.0,1.0,0.8,1.0,1.2,1.7,600.0,0.6
03757B270 00915,HWB17,0.9980955355534588,1.125,1.0,0.25,0.3930001171241744,0.5052858648739386,0.7860002342483488,501.0,0.6
08681 001 02121,HWB10,0.855192201565923,1.11,1.0,0.6,0.8543370093643572,1.0441896781119921,1.423895015607262,205.0,0.6
01600 281 00495,HWB3,1.0,1.2,1.0,0.8,1.2,1.44,2.04,111.0,0.6
07496A002 06302,HWB10,0.9828152554214186,1.11,1.0,0.6,0.9818324401659972,1.2000174268695523,1.636387400276662,202.0,0.6
07496 002 06302,HWB10,1.0,1.11,1.0,0.6,0.9990000000000001,1.2210000000000003,1.665,202.0,0.6
02403 063 01439,HWB3,0.9828152554214186,1.2,1.0,0.8,1.1793783065057022,1.4152539678068425,2.0049431210596937,104.0,0.6
03756A270 00846,HWB17,1.0,1.125,1.0,0.25,0.39375,0.50625,0.7875,501.0,0.6
08683 001 02192,HWB17,1.0,1.0833333333333333,1.0,0.25,0.3791666666666666,0.4875,0.7583333333333332,502.0,0.6
06806 162 06548,HWB10,1.0,1.11,1.0,0.6,0.9990000000000001,1.2210000000000003,1.665,204.0,0.6
16862 073 05751,HWB3,1.0,1.2,1.0,0.8,1.2,1.44,2.04,502.0,0.6
19183 162 06642,HWB4,0.7757673769578406,1.2,1.0,0.8,0.9309208523494087,1.1171050228192905,1.5825654489939947,502.0,0.6
08891N001 02242,HWB17,0.9306048591020997,1.0625,1.0,0.25,0.3460686819785933,0.4449454482581914,0.6921373639571866,502.0,0.6
08891S001 02242,HWB17,0.9306048591020997,1.0625,1.0,0.25,0.3460686819785933,0.4449454482581914,0.6921373639571866,502.0,0.6
09777 270 00775,HWB22,1.0,1.11,1.0,0.6,0.9990000000000001,1.2210000000000003,1.665,602.0,0.6
09017 026 10461,HWB3,0.925833300709211,1.2,1.0,0.8,1.1109999608510532,1.333199953021264,1.8886999334467902,302.0,0.6
19649 026 05779,HWB4,0.7666715413346664,1.2,1.0,0.8,0.9200058496015997,1.1040070195219196,1.5640099443227196,501.0,0.6
16136 026 05758,HWB3,0.9951221375999885,1.2,1.0,0.8,1.194146565119986,1.4329758781439832,2.0300491607039763,502.0,0.6
19178 162 07565,HWB4,0.8876996978746371,1.2,1.0,0.8,1.0652396374495645,1.2782875649394774,1.8109073836642597,502.0,0.6
08890N001 02307,HWB17,0.9306048591020997,1.0625,1.0,0.25,0.3460686819785933,0.4449454482581914,0.6921373639571866,502.0,0.6
08890S001 02307,HWB17,0.9306048591020997,1.0625,1.0,0.25,0.3460686819785933,0.4449454482581914,0.6921373639571866,502.0,0.6
16861 073 05683,HWB5,1.0,1.0625,1.0,0.25,0.37187499999999996,0.478125,0.7437499999999999,104.0,0.6
01939 281 01290,HWB3,0.9050701874932087,1.2,1.0,0.8,1.0860842249918503,1.3033010699902203,1.8463431824861456,309.0,0.6
19181 162 06278,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,502.0,0.6
09775 270 00499,HWB3,0.9871018512723169,1.2,1.0,0.8,1.18452222152678,1.4214266658321362,2.013687776595526,502.0,0.6
21383001AV02440,HWB23,0.9907710045452803,1.33,1.0,0.9,1.1859528924407006,1.4494979796497454,1.9765881540678345,606.0,0.6
21382 670 00013,HWB23,1.0,1.33,1.0,0.9,1.197,1.4630000000000003,1.995,602.0,0.6
16860 073 05545,HWB3,0.9306048591020997,1.2,1.0,0.8,1.1167258309225196,1.3400709971070235,1.8984339125682832,502.0,0.6
16087 022 02923,HWB17,0.8408964152537145,1.0833333333333333,1.0,0.25,0.31883989078370006,0.4099370024361858,0.6376797815674001,502.0,0.6
19179 162 06080,HWB19,0.9306048591020997,1.125,1.0,0.5,0.8375443731918898,1.1516235131388484,1.7797817930327655,502.0,0.6
01399A015 05046,HWB17,1.0,1.125,1.0,0.25,0.39375,0.50625,0.7875,505.0,0.6
02071A018 04287,HWB3,1.0,1.2,1.0,0.8,1.2,1.44,2.04,302.0,0.6
20338 026 05351,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,302.0,0.6
09774 270 00333,HWB22,0.9306048591020997,1.11,1.0,0.6,0.9296742542429977,1.136268532963664,1.5494570904049962,602.0,0.6
19114 001 02704,HWB23,0.7573482926309705,1.11,1.0,0.7565909443383396,0.7565909443383396,0.9247222653024152,1.2609849072305659,602.0,0.6
19283 001 02709,HWB19,0.9050701874932087,1.125,1.0,0.5,0.8145631687438879,1.1200243570228459,1.7309467335807616,502.0,0.6
19282 001 02709,HWB19,0.9050701874932087,1.0833333333333333,1.0,0.5,0.7843941624941142,1.078541973429407,1.6668375952999925,502.0,0.6
19109 001 02707,HWB23,0.7379966361813765,1.165,1.0,0.7737894730361733,0.7737894730361733,0.945742689266434,1.2896491217269554,602.0,0.6
19110 001 02707,HWB19,1.0,1.125,1.0,0.5,0.9,1.2375,1.9124999999999999,502.0,0.6
19108 001 02721,HWB4,0.9951221375999885,1.2,1.0,0.8,1.194146565119986,1.4329758781439832,2.0300491607039763,502.0,0.6
19111 000 00000,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,502.0,0.6
19286 000 00000,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,501.0,0.6
19284 001 02726,HWB23,1.0,1.11,1.0,0.9,0.9990000000000001,1.2210000000000003,1.665,602.0,0.6
08676B001C02758,HWB15,0.8334616790584899,1.0166666666666666,1.0,0.6355145302820985,0.6355145302820985,0.6355145302820985,0.9320879777470779,402.0,0.6
03661 063 00817,HWB28,0.9306048591020997,1.0,1.0,0.8,0.9306048591020997,1.1167258309225196,1.5820282604735694,219.0,0.6
03660 063 00803,HWB28,1.0,1.0,1.0,0.8,1.0,1.2,1.7,219.0,0.6
00681B022 00933,HWB17,0.9980955355534588,1.125,1.0,0.25,0.3930001171241744,0.5052858648739386,0.7860002342483488,501.0,0.6
18427 02200 856,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,502.0,0.6
08332 001 02866,HWB12,1.0,1.012857142857143,1.0,0.25,0.3545,0.4557857142857143,0.709,302.0,0.6
00830B022 02585,HWB19,0.8752396489642011,1.25,1.0,0.5,0.8752396489642011,1.2034545173257767,1.8598842540489273,502.0,0.6
21644022BD00176,HWB28,0.9828152554214186,1.0,1.0,0.8,0.9828152554214186,1.1793783065057022,1.6707859342164115,219.0,0.6
21641 022I00153,HWB28,1.0,1.0,1.0,0.8,1.0,1.2,1.7,219.0,0.6
21631022BD00183,HWB4,0.9105150040252173,1.2,1.0,0.8,1.0926180048302607,1.3111416057963128,1.857450608211443,502.0,0.6
08851 001 02964,HWB17,0.9850359010086873,1.0833333333333333,1.0,0.25,0.3734927791324606,0.480205001741735,0.7469855582649212,502.0,0.6
21642 022I00163,HWB28,0.9306048591020997,1.0,1.0,0.8,0.9306048591020997,1.1167258309225196,1.5820282604735694,219.0,0.6
16859 073 05073,HWB10,0.9306048591020997,1.11,1.0,0.6,0.9296742542429977,1.136268532963664,1.5494570904049962,204.0,0.6
21643 022I00263,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,501.0,0.6
